,region,region_coord
103,"Arbois, France","(46.902851, 5.772342)"
104,"Barossa Valley, Australia","(-34.5333333, 138.95)"
105,"Tupungato, Argentina","(-33.3728036, -69.1475583)"
106,"Langhe, Italy","(41.9176306, -87.6982833)"
107,"Columbia Valley (WA), USA","(48.9220655, -122.1390398)"
108,"Roero, Italy","(44.77926919999999, 7.9384998)"
109,"Barbera d'Asti Superiore Nizza, Italy","(41.6597893, -91.53151129999999)"
110,"Mendocino County, USA","(39.5500194, -123.438353)"
111,"Recas, Romania","(45.8011607, 21.5119138)"
112,"Côte de Nuits-Villages, France","(47.180179, 4.959953)"
113,"Hawke's Bay, New Zealand","(-39.6016597, 176.5804473)"
114,"Curicó Valley, Chile","(-34.9859489, -71.2417746)"
115,"Prosecco di Valdobbiadene, Italy","(45.8970553, 12.0118446)"
116,"Prosecco di Conegliano, Italy","(45.8866391, 12.309513)"
117,"Limarí Valley, Chile","(-30.7462002, -71.0022311)"
118,"Knights Valley, USA","(38.6351857, -122.6941543)"
119,"Rapel Valley, Chile","(-33.9444044, -71.7375831)"
120,"Barossa, Australia","(-34.5333333, 138.95)"
121,"Tokaji, Hungary","(48.1172148, 21.4089015)"
122,"Rheingau, Germany","(50.1891679, 8.1104164)"
123,"Bianco di Custoza, Italy","(45.3729347, 10.7962865)"
124,"Soave, Italy","(45.4544384, 11.2358335)"
125,"Collio, Italy","(45.95575729999999, 13.4675302)"
126,"Naoussa, Greece","(37.1235743, 25.238722)"
127,"Trentino, Italy","(46.0512004, 11.1175392)"
128,"Valdadige, Italy","(46.0714742, 11.1159792)"
129,"Rutherford, USA","(40.826489, -74.10680909999999)"
130,"Central Valley, Chile","(-34.4590092, -70.9548219)"
131,"Lontué Valley, Chile","(-35.0567954, -71.26886019999999)"
132,"California, USA","(36.778261, -119.4179324)"
133,"Prosecco di Conegliano e Valdobbiadene, Italy","(45.8970553, 12.0118446)"
134,"Prosecco del Veneto, Italy","(45.44390079999999, 12.3275619)"
135,"Burgenland, Austria","(47.15371649999999, 16.2688797)"
136,"Graves, France","(35.5149671, -97.52933329999999)"
137,"Rioja, Spain","(42.2870733, -2.539603)"
138,"North Fork of Long Island, USA","(40.9445753, -72.626999)"
139,"Bierzo, Spain","(42.59219239999999, -6.663812)"
140,"Franciacorta, Italy","(40.770919, -96.62353689999999)"
141,"Meursault, France","(46.97822499999999, 4.768746)"
142,"Niagara-On-The-Lake, Canada","(43.2549988, -79.0772616)"
143,"Carneros, USA","(38.25552, -122.3513889)"
144,"Ribbon Ridge, USA","(45.3596594, -123.094848)"
145,"Champagne, France","(48.9168895, 4.151432499999999)"
146,"Rheinhessen, Germany","(49.8935328, 8.0850303)"
147,"Amarone della Valpolicella, Italy","(45.5161992, 10.8747131)"
148,"Mosel, Germany","(49.1671789, 6.2118023)"
149,"Chambolle-Musigny, France","(47.185496, 4.952888)"
150,"Alentejano, Portugal","(38.2003808, -7.800084999999998)"
151,"Pomerol, France","(44.9298292, -0.2010233)"
152,"Cannonau di Sardegna, Italy","(40.1208752, 9.012892599999999)"
153,"Red Mountain, USA","(37.901662, -107.7025)"
154,"Isola dei Nuraghi, Italy","(33.3483333, -111.9088889)"
155,"Sta. Rita Hills, USA","(34.66595650000001, -120.1152408)"
156,"Western Cape, South Africa","(-33.2277918, 21.8568586)"
157,"Côtes du Rhône Villages, France","(43.946168, 4.8074198)"
158,"Friuli Grave, Italy","(33.533329, -117.7759554)"
159,"Walla Walla Valley (WA), USA","(46.0359675, -118.7691582)"
160,"El Dorado, USA","(33.20763, -92.6662674)"
161,"Rueda, Spain","(41.4108743, -4.9597661)"
162,"Suisun Valley, USA","(38.2382474, -122.040244)"
163,"Côtes de Provence, France","(43.4827707, 5.6238383)"
164,"Lodi, USA","(38.1341477, -121.2722194)"
165,"Côtes du Rhône, France","(43.946168, 4.8074198)"
166,"Venezia Giulia, Italy","(46.2259177, 13.1033646)"
167,"Wahluke Slope, USA","(46.7498928, -119.8342096)"
168,"Yakima Valley, USA","(46.3289058, -120.0086385)"
169,"Oregon, USA","(43.8041334, -120.5542012)"
170,"Alto Adige Valle Isarco, Italy","(46.75, 11.6166667)"
171,"Ballard Canyon, USA","(34.6354195, -120.1479918)"
172,"Howell Mountain, USA","(38.58139, -122.45)"
173,"Gavi, Italy","(44.6880915, 8.8037472)"
174,"Valle de Guadalupe, Mexico","(32.0956281, -116.572572)"
175,"Oak Knoll District, USA","(38.35833, -122.33389)"
176,"Rogue Valley, USA","(42.4401246, -122.9261546)"
177,"Chehalem Mountains, USA","(45.3762277, -123.037326)"
178,"Northern Sonoma, USA","(38.291859, -122.4580356)"
179,"Vinho Verde, Portugal","(36.1426328, -95.9874791)"
180,"Soave Classico, Italy","(32.2233621, -110.9697106)"
181,"Conegliano Valdobbiadene Prosecco Superiore, Italy","(40.6967986, -73.9678491)"
182,"Edna Valley, USA","(35.2170004, -120.6075179)"
183,"Idaho, USA","(44.0682019, -114.7420408)"
184,"Gambellara Classico, Italy","(45.4570776, 11.3419557)"
185,"Mount Veeder, USA","(38.3793566, -122.4477575)"
186,"Valencia, Spain","(39.4699075, -0.3762881)"
187,"Cortona, Italy","(43.27506340000001, 11.98512)"
188,"Piemonte, Italy","(45.0522366, 7.5153885)"
189,"Colli della Toscana Centrale, Italy","(44.0794258, 10.3311955)"
190,"Horse Heaven Hills, USA","(46.0998556, -119.5361361)"
191,"Santa Cruz Mountains, USA","(37.1108921, -121.8448906)"
192,"Livermore Valley, USA","(37.6818688, -121.7684732)"
193,"Central Otago, New Zealand","(-44.9566315, 169.3988451)"
